Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Offset;Occurrences;Appearances;RatePct;GeneralRatePct;LiftPctPoints
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;7;195;11;5.641026;6.679764;-1.038739
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;8;195;15;7.692308;6.679764;1.012543
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;9;195;13;6.666667;6.679764;-0.013098
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;1;195;16;8.205128;7.151277;1.053851
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;2;195;19;9.74359;7.151277;2.592313
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;3;195;17;8.717949;7.151277;1.566672
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;4;195;20;10.25641;7.151277;3.105133
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;5;195;15;7.692308;7.151277;0.541031
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;6;195;13;6.666667;7.151277;-0.48461
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;7;195;13;6.666667;7.151277;-0.48461
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;8;195;14;7.179487;7.151277;0.02821
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;9;195;13;6.666667;7.151277;-0.48461
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;1;195;15;7.692308;7.347741;0.344567
